keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"content marketing service",9900,18.23,0.0200,2,4,3,"valveandmeter.com|scorpion.co"
"content marketing services",9900,18.23,0.0200,2,2,3,"valveandmeter.com|scorpion.co"
"create a business facebook page",9900,5.57,0.4500,1,10,5,"scorpion.co"
"create a company facebook page",9900,5.57,0.4500,1,12,5,"scorpion.co"
"create business facebook page",9900,5.57,0.4500,1,15,4,"scorpion.co"
"create business fb page",9900,5.57,0.4500,1,11,4,"scorpion.co"
"create facebook business page",9900,5.57,0.4500,1,12,4,"scorpion.co"
"create facebook page for business",9900,5.57,0.4500,1,5,5,"scorpion.co"
"create fb business page",9900,5.57,0.4500,1,12,4,"scorpion.co"
"creating a company facebook page",9900,5.57,0.4500,1,34,5,"scorpion.co"
"creating company facebook page",9900,5.57,0.4500,1,14,4,"scorpion.co"
"how can i delete a google review",9900,11.80,0.2300,2,39,7,"hookagency.com|scorpion.co"
"how can i delete a review on google",9900,11.80,0.2300,2,34,8,"scorpion.co|hookagency.com"
"how do i delete a google review",9900,11.80,0.2300,2,42,7,"hookagency.com|scorpion.co"
"how do i delete a review on google",9900,11.80,0.2300,2,27,8,"scorpion.co|hookagency.com"
"how do i remove a google review",9900,11.80,0.2300,2,66,7,"hookagency.com|scorpion.co"
"how to delete a google review",9900,11.80,0.2300,2,54,6,"hookagency.com|scorpion.co"
"how to remove a google review",9900,11.80,0.2300,2,50,6,"scorpion.co|hookagency.com"
"internet advertising",9900,55.60,0.2200,1,83,2,"scorpion.co"
"internet marketing service near me",9900,3.59,0.0300,1,23,5,"scorpion.co"
"make a business fb page",9900,5.57,0.4500,1,11,5,"scorpion.co"
"make a business page on fb",9900,5.57,0.4500,1,9,6,"scorpion.co"
"make a facebook business page",9900,5.57,0.4500,1,13,5,"scorpion.co"
"make facebook page for business",9900,5.57,0.4500,1,12,5,"scorpion.co"
"making a business facebook page",9900,5.57,0.4500,1,7,5,"scorpion.co"
"marketers near me",9900,13.10,0.0800,1,9,3,"scorpion.co"
"marketing companies",9900,21.72,0.2800,1,60,2,"scorpion.co"
"marketing company",9900,21.72,0.2800,1,31,2,"scorpion.co"
"marketing content services",9900,18.23,0.0200,2,30,3,"valveandmeter.com|scorpion.co"
"marketing on internet",9900,29.91,0.1600,1,64,3,"scorpion.co"
"what is a business statement",9900,0.90,0.0800,1,6,5,"scorpion.co"
"what is business statement",9900,0.90,0.0800,1,7,4,"scorpion.co"
"2000 words how many pages",9900,0.00,0.0000,1,5,5,"hookagency.com"
"2000 words is how many pages",9900,0.00,0.0000,1,4,6,"hookagency.com"
"catch all",9900,1.79,0.8500,1,70,2,"hookagency.com"
"check keyword google ranking",9900,6.59,0.0100,1,100,4,"hookagency.com"
"check keywords ranking google",9900,6.59,0.0100,1,62,4,"hookagency.com"
"configure google alerts",9900,3.26,0.0000,1,34,3,"hookagency.com"
"create a google alert",9900,3.26,0.0000,1,61,4,"hookagency.com"
"create google alert",9900,3.26,0.0000,1,43,3,"hookagency.com"
"create google alerts",9900,3.26,0.0000,1,39,3,"hookagency.com"
"design services website",9900,22.00,0.0700,1,98,3,"hookagency.com"
"find keyword ranking google",9900,6.59,0.0100,1,95,4,"hookagency.com"
"google alert set up",9900,3.26,0.0000,1,36,4,"hookagency.com"
"google alert setup",9900,3.26,0.0000,1,39,3,"hookagency.com"
"google alerts set up",9900,3.26,0.0000,1,32,4,"hookagency.com"
"google alerts setup",9900,3.26,0.0000,1,23,3,"hookagency.com"
"how do i remove a review on google",9900,11.80,0.2300,1,68,8,"hookagency.com"
"how do you remove a review on google",9900,11.80,0.2300,1,64,8,"hookagency.com"
"how do you remove reviews from google",9900,11.80,0.2300,1,63,7,"hookagency.com"
